,transaction_id,transaction_date,product_id,customer_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
0,1,1487952000,2,2950,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Kristos,Anthony,Male,19.0,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0
1,2,1495296000,3,3120,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,Lauree,O'Donnell,Female,89.0,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0
2,3,1508083200,37,402,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Berne,Donegan,Male,9.0,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0
3,4,1504108800,88,3135,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,Titus,Worsall,Male,83.0,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0
4,5,1506787200,78,787,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,Norma,Batrim,Female,29.0,1996-12-15,,Retail,Affluent Customer,N,Yes,2.0
5,6,1488902400,25,2339,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,Damien,Haddeston,Male,3.0,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0
6,7,1492704000,22,1542,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Sanders,Fernyhough,Male,56.0,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0
7,8,1500048000,15,2459,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Jeanna,Naulls,Female,67.0,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0
8,9,1502294400,67,1305,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,Averil,Gentiry,Male,97.0,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0
9,10,1504022400,12,3262,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Maynord,L'Episcopi,Male,65.0,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0
